중산도면,단가,수량,영업납기,선급
050713,8416,40,2021-10-21,1
050758,6498,1,2021-02-12,0
050758,6498,1,2021-07-16,0
050758,6498,2,2021-07-07,0
050761,8065,4,2021-02-28,0
050761,8065,8,2021-08-21,0
050761,8065,16,2021-06-23,0
050766,6498,1,2021-10-12,1
050766,6498,3,2021-04-13,1
050766,6498,6,2021-03-17,0
050826,179208,10,2021-12-04,0
050826,179208,20,2021-01-27,0
050826,179208,40,2021-11-25,0
050828,179208,27,2021-08-12,0
050828,179208,53,2021-09-10,0
050828,179208,106,2021-04-16,0
050829,179208,30,2021-03-29,0
050829,179208,90,2021-05-27,1
050829,179208,180,2021-02-12,0
050830,104092,15,2021-02-20,1
050830,104092,77,2021-11-08,0
050830,104092,154,2021-08-04,0
050834,18691,2,2021-02-27,0
050834,18691,5,2021-05-01,1
050834,18691,10,2021-02-02,0
050845,6498,1,2021-09-12,0
050845,6498,2,2021-05-31,1
050845,6498,4,2021-01-26,0
050854,6498,1,2021-08-19,0
050854,6498,1,2021-03-24,0
050854,6498,2,2021-03-18,0
050863,6498,1,2021-10-22,0
050863,6498,1,2021-07-13,1
050863,6498,3,2021-04-07,0
050867,52115,5,2021-12-19,1
050867,52115,11,2021-10-20,0
050867,52115,22,2021-11-21,0
050868,6498,3,2021-03-26,0
050868,6498,6,2021-10-24,0
050868,6498,12,2021-05-23,0
050869,6498,2,2021-03-02,0
050869,6498,4,2021-03-25,0
050869,6498,8,2021-07-20,1
050873,7168,3,2021-11-23,0
050873,7168,17,2021-09-21,0
050873,7168,34,2021-11-18,0
050874,6516,3,2021-01-20,0
050874,6516,15,2021-08-13,0
050874,6516,30,2021-03-06,0
050875,27256,2,2021-10-25,0
050875,27256,8,2021-03-06,0
050875,27256,16,2021-10-19,0
050897,52115,6,2021-08-08,0
050897,52115,13,2021-01-15,0
050897,52115,26,2021-07-19,0
050927,33960,6,2021-08-09,0
050927,33960,47,2021-05-13,0
050927,33960,94,2021-12-22,0
050928,38087,8,2021-04-26,1
050928,38087,77,2021-07-02,0
050928,38087,154,2021-04-19,0
050930,8493,4,2021-03-08,0
050930,8493,8,2021-12-21,0
050930,8493,16,2021-06-01,0
050931,179208,13,2021-11-22,0
050931,179208,26,2021-01-08,0
050931,179208,52,2021-05-21,0
050932,179208,10,2021-05-18,0
050932,179208,20,2021-12-12,0
050932,179208,40,2021-03-20,1
050933,179208,7,2021-09-20,0
050933,179208,15,2021-07-07,0
050933,179208,30,2021-10-08,0
050938,27256,2,2021-03-25,0
050938,27256,5,2021-09-23,0
050938,27256,10,2021-01-22,0
050940,6557,3,2021-02-08,0
050940,6557,26,2021-05-28,0
050940,6557,52,2021-07-16,0
050969,179208,5,2021-11-12,0
050969,179208,10,2021-09-29,0
050969,179208,20,2021-05-26,0
050994,6498,3,2021-07-30,0
050994,6498,5,2021-07-10,0
050994,6498,10,2021-01-07,0
051018,34772,5,2021-09-26,0
051018,34772,15,2021-08-22,0
051018,34772,30,2021-06-25,0
051019,6332,2,2021-12-25,1
051019,6332,10,2021-10-26,1
051019,6332,20,2021-10-29,0
051048,109083,7,2021-12-18,1
051048,109083,22,2021-03-15,0
051048,109083,44,2021-11-23,1
051049,81204,8,2021-04-15,1
051049,81204,17,2021-03-15,0
051049,81204,34,2021-10-31,0
051050,104092,26,2021-06-27,1
051050,104092,134,2021-02-09,0
051050,104092,268,2021-12-08,1
051051,106952,51,2021-01-09,0
051051,106952,207,2021-10-20,0
051051,106952,414,2021-04-24,0
051052,104092,50,2021-01-07,1
051052,104092,301,2021-04-09,0
051052,104092,602,2021-03-21,0
051053,106952,51,2021-12-23,0
051053,106952,205,2021-04-30,0
051053,106952,410,2021-09-14,0
051054,179208,95,2021-04-30,0
051054,179208,190,2021-08-11,0
051054,179208,380,2021-01-04,0
051056,109155,58,2021-12-15,0
051056,109155,408,2021-05-30,0
051056,109155,816,2021-09-25,0
051058,104092,30,2021-04-27,0
051058,104092,154,2021-02-13,0
051058,104092,308,2021-08-07,1
051059,179208,16,2021-12-04,0
051059,179208,32,2021-07-24,0
051059,179208,64,2021-04-06,0
051060,179208,41,2021-02-18,1
051060,179208,82,2021-01-08,0
051060,179208,164,2021-04-15,0
051061,104092,26,2021-10-15,1
051061,104092,157,2021-06-17,0
051061,104092,314,2021-05-04,0
051079,23153,5,2021-06-24,0
051079,23153,45,2021-02-22,1
051079,23153,90,2021-07-18,0
051080,6498,3,2021-08-12,0
051080,6498,6,2021-03-12,1
051080,6498,12,2021-01-29,1
051081,6498,3,2021-09-30,0
051081,6498,5,2021-12-06,0
051081,6498,10,2021-09-07,0
051082,8493,4,2021-09-07,0
051082,8493,8,2021-07-24,0
051082,8493,16,2021-10-01,0
051083,8065,3,2021-11-23,1
051083,8065,7,2021-08-14,0
051083,8065,14,2021-10-23,0
051108,102669,8,2021-04-21,0
051108,102669,24,2021-11-10,1
051108,102669,48,2021-08-26,0
051121,45856,7,2021-05-28,0
051121,45856,67,2021-12-09,0
051121,45856,134,2021-07-20,0
051122,43937,8,2021-03-11,0
051122,43937,33,2021-07-25,1
051122,43937,66,2021-01-13,0
051125,104092,15,2021-02-11,0
051125,104092,74,2021-02-13,0
051125,104092,148,2021-05-04,0
051128,179208,14,2021-05-29,0
051128,179208,44,2021-07-03,0
051128,179208,88,2021-05-07,0
051129,14698,5,2021-12-18,0
051129,14698,21,2021-01-30,0
051129,14698,42,2021-08-30,0
051139,7168,3,2021-11-04,0
051139,7168,20,2021-08-31,0
051139,7168,40,2021-04-14,0
051140,21121,3,2021-03-30,0
051140,21121,28,2021-11-28,0
051140,21121,56,2021-07-18,1
051141,9195,4,2021-05-11,1
051141,9195,24,2021-12-14,0
051141,9195,48,2021-04-04,0
051146,8416,2,2021-11-12,1
051146,8416,14,2021-05-10,0
051146,8416,28,2021-07-31,0
051147,20470,3,2021-01-22,0
051147,20470,26,2021-07-05,0
051147,20470,52,2021-10-04,0
051155,6498,1,2021-04-15,0
051155,6498,1,2021-02-23,0
051155,6498,2,2021-10-22,0
051160,52115,3,2021-07-26,0
051160,52115,6,2021-01-03,0
051160,52115,13,2021-02-08,0
051181,106952,31,2021-05-14,0
051181,106952,127,2021-10-22,1
051181,106952,254,2021-08-02,0
051186,6516,2,2021-06-25,0
051186,6516,10,2021-08-22,0
051186,6516,20,2021-07-06,0
051194,6498,1,2021-06-02,0
051194,6498,2,2021-06-20,1
051194,6498,4,2021-12-22,1
051198,179208,15,2021-11-13,0
051198,179208,31,2021-06-22,0
051198,179208,62,2021-05-28,0
051199,16801,5,2021-09-08,0
051199,16801,37,2021-05-09,0
051199,16801,74,2021-09-25,0
051201,179208,7,2021-06-01,0
051201,179208,15,2021-08-09,0
051201,179208,30,2021-12-04,0
051202,17118,5,2021-12-17,0
051202,17118,39,2021-05-03,1
051202,17118,78,2021-09-01,1
051210,145749,10,2021-10-29,0
051210,145749,83,2021-09-03,1
051210,145749,166,2021-09-23,0
051211,20470,2,2021-06-23,1
051211,20470,15,2021-04-15,0
051211,20470,30,2021-01-26,0
051217,6498,1,2021-09-25,0
051217,6498,2,2021-02-06,0
051217,6498,4,2021-07-09,0
051219,179208,57,2021-01-15,0
051219,179208,115,2021-07-22,0
051219,179208,230,2021-07-04,0
051228,52115,6,2021-03-31,0
051228,52115,12,2021-12-27,0
051228,52115,24,2021-09-16,0
051259,6498,1,2021-08-16,0
051259,6498,2,2021-06-16,0
051259,6498,4,2021-01-24,0
051269,179208,18,2021-02-06,0
051269,179208,54,2021-05-12,0
051269,179208,108,2021-03-25,0
051270,40772,7,2021-11-11,0
051270,40772,28,2021-10-26,0
051270,40772,56,2021-03-22,1
051272,109155,12,2021-05-26,0
051272,109155,89,2021-08-05,1
051272,109155,178,2021-05-24,0
051273,39310,7,2021-09-25,0
051273,39310,33,2021-02-27,1
051273,39310,66,2021-05-18,0
051282,6498,1,2021-01-31,0
051282,6498,3,2021-02-13,0
051282,6498,7,2021-07-13,0
051283,179208,5,2021-11-07,0
051283,179208,11,2021-01-11,0
051283,179208,23,2021-04-07,0
051292,6498,2,2021-12-03,0
051292,6498,4,2021-05-27,0
051292,6498,8,2021-02-09,0
051310,9195,4,2021-03-28,0
051310,9195,20,2021-05-21,0
051310,9195,40,2021-12-24,0
051318,6516,2,2021-05-04,0
051318,6516,13,2021-12-07,0
051318,6516,26,2021-10-16,0
051340,179208,32,2021-05-06,1
051340,179208,97,2021-08-01,0
051340,179208,194,2021-04-30,1
051341,106952,27,2021-10-01,0
051341,106952,108,2021-01-12,0
051341,106952,216,2021-10-31,1
051360,7149,1,2021-07-03,0
051360,7149,3,2021-03-10,0
051360,7149,7,2021-09-17,0
051361,18691,5,2021-02-12,0
051361,18691,10,2021-11-05,0
051361,18691,20,2021-11-19,1
051368,15015,5,2021-10-24,0
051368,15015,21,2021-05-15,0
051368,15015,42,2021-05-19,1
051433,179208,21,2021-02-22,0
051433,179208,42,2021-03-09,0
051433,179208,85,2021-01-20,0
051434,95463,19,2021-05-22,0
051434,95463,193,2021-04-14,1
051434,95463,386,2021-01-28,0
051436,109155,60,2021-05-23,0
051436,109155,418,2021-02-14,0
051436,109155,836,2021-10-04,0
051437,145749,41,2021-05-30,1
051437,145749,329,2021-09-25,0
051437,145749,658,2021-12-11,0
051438,100388,14,2021-11-22,1
051438,100388,221,2021-01-11,0
051438,100388,442,2021-06-28,0
051441,24026,6,2021-05-27,0
051441,24026,89,2021-11-03,0
051441,24026,178,2021-03-05,0
051442,100388,11,2021-04-09,0
051442,100388,213,2021-07-15,0
051442,100388,426,2021-01-23,0
051443,106952,25,2021-07-07,1
051443,106952,99,2021-11-23,0
051443,106952,198,2021-01-03,0
051446,179208,16,2021-02-20,0
051446,179208,33,2021-11-12,0
051446,179208,66,2021-08-27,0
051447,106952,12,2021-03-29,1
051447,106952,48,2021-03-29,0
051447,106952,96,2021-03-31,0
051448,179208,22,2021-04-05,0
051448,179208,45,2021-07-29,0
051448,179208,90,2021-11-22,0
051449,145749,35,2021-10-05,0
051449,145749,282,2021-07-19,0
051449,145749,564,2021-02-28,0
051450,43171,9,2021-03-29,0
051450,43171,35,2021-02-16,0
051450,43171,70,2021-03-15,0
051451,106952,29,2021-05-02,0
051451,106952,118,2021-05-13,0
051451,106952,236,2021-09-09,0
051454,13583,4,2021-06-01,0
051454,13583,27,2021-09-30,0
051454,13583,54,2021-03-01,1
051455,23912,5,2021-01-05,1
051455,23912,57,2021-05-25,1
051455,23912,114,2021-03-28,1
051489,179208,57,2021-09-08,1
051489,179208,115,2021-10-26,0
051489,179208,230,2021-04-27,0
051500,179208,11,2021-02-25,0
051500,179208,22,2021-03-16,0
051500,179208,44,2021-05-06,0
051504,6498,1,2021-12-17,0
051504,6498,1,2021-03-17,1
051504,6498,2,2021-01-27,0
051505,27256,1,2021-02-23,0
051505,27256,3,2021-08-27,0
051505,27256,6,2021-07-11,0
051507,20470,2,2021-03-15,0
051507,20470,18,2021-12-28,0
051507,20470,36,2021-11-29,0
051508,104092,11,2021-11-20,1
051508,104092,66,2021-11-23,0
051508,104092,132,2021-10-13,0
051509,20470,3,2021-03-03,0
051509,20470,24,2021-07-08,0
051509,20470,48,2021-12-18,0
051510,11735,3,2021-03-31,0
051510,11735,41,2021-04-12,0
051510,11735,82,2021-12-22,0
051513,27256,2,2021-11-12,0
051513,27256,7,2021-09-24,0
051513,27256,14,2021-12-29,1
051514,6498,3,2021-06-14,1
051514,6498,7,2021-02-21,0
051514,6498,14,2021-01-16,0
051517,179208,17,2021-04-23,0
051517,179208,35,2021-11-18,0
051517,179208,70,2021-12-22,1
051561,8493,4,2021-03-13,1
051561,8493,8,2021-12-09,0
051561,8493,16,2021-09-18,1
051563,6498,2,2021-10-09,0
051563,6498,4,2021-10-07,0
051563,6498,8,2021-01-18,0
051583,32141,9,2021-10-12,0
051583,32141,131,2021-02-07,0
051583,32141,262,2021-07-23,1
051584,41077,8,2021-12-24,1
051584,41077,51,2021-06-02,0
051584,41077,102,2021-03-26,0
051586,15218,6,2021-06-22,0
051586,15218,38,2021-01-19,0
051586,15218,76,2021-11-04,0
051587,179208,11,2021-08-18,0
051587,179208,33,2021-04-25,0
051587,179208,66,2021-07-30,0
051598,179208,20,2021-05-21,0
051598,179208,39,2021-12-21,1
051598,179208,78,2021-04-10,0
051604,86821,7,2021-01-01,0
051604,86821,15,2021-12-29,1
051604,86821,30,2021-11-22,0
051612,6498,1,2021-03-15,1
051612,6498,2,2021-07-25,0
051612,6498,4,2021-02-24,0
051613,105576,15,2021-08-10,1
051613,105576,132,2021-12-22,0
051613,105576,264,2021-09-21,0
051614,179208,30,2021-05-14,0
051614,179208,89,2021-12-24,0
051614,179208,178,2021-07-30,1
051616,81393,8,2021-06-03,1
051616,81393,65,2021-05-15,1
051616,81393,130,2021-09-28,0
051620,6516,2,2021-10-21,0
051620,6516,9,2021-02-04,0
051620,6516,18,2021-06-30,1
051621,179208,5,2021-11-27,1
051621,179208,10,2021-10-15,0
051621,179208,21,2021-07-26,1
051625,27256,3,2021-10-16,0
051625,27256,10,2021-10-10,0
051625,27256,20,2021-03-18,0
051626,179208,33,2021-04-12,1
051626,179208,100,2021-03-01,1
051626,179208,200,2021-01-12,0
051627,6557,2,2021-10-26,0
051627,6557,18,2021-03-29,0
051627,6557,36,2021-12-10,0
051628,11941,2,2021-01-25,0
051628,11941,30,2021-08-25,0
051628,11941,60,2021-02-05,0
051633,21121,3,2021-01-29,0
051633,21121,26,2021-05-15,0
051633,21121,52,2021-05-31,0
051634,6498,3,2021-01-18,0
051634,6498,6,2021-07-22,0
051634,6498,12,2021-01-16,0
051638,104092,32,2021-10-07,0
051638,104092,194,2021-08-29,0
051638,104092,388,2021-03-24,1
051646,6498,2,2021-05-28,0
051646,6498,4,2021-08-11,1
051646,6498,8,2021-02-01,1
051701,179208,61,2021-12-29,0
051701,179208,123,2021-07-18,0
051701,179208,246,2021-03-13,0
051711,6498,1,2021-12-20,1
051711,6498,1,2021-03-10,1
051711,6498,2,2021-10-02,0
051715,100388,16,2021-08-22,0
051715,100388,196,2021-12-11,0
051715,100388,392,2021-01-28,0
051716,95463,11,2021-02-09,1
051716,95463,112,2021-07-12,0
051716,95463,224,2021-04-26,0
051717,105576,34,2021-07-20,1
051717,105576,304,2021-09-13,0
051717,105576,608,2021-08-05,0
051718,8333,3,2021-06-22,0
051718,8333,44,2021-09-23,0
051718,8333,88,2021-12-05,0
051726,104092,25,2021-05-28,0
051726,104092,150,2021-11-05,1
051726,104092,300,2021-08-23,0
051729,16724,4,2021-06-06,0
051729,16724,40,2021-07-22,1
051729,16724,80,2021-08-09,0
051730,21121,3,2021-07-20,0
051730,21121,27,2021-12-02,0
051730,21121,54,2021-02-19,0
051782,41210,7,2021-01-30,0
051782,41210,47,2021-06-04,0
051782,41210,94,2021-12-16,0
051792,7149,3,2021-04-09,0
051792,7149,7,2021-09-08,1
051792,7149,14,2021-02-14,0
051794,106952,15,2021-10-09,0
051794,106952,60,2021-04-26,0
051794,106952,120,2021-11-05,0
051795,179208,47,2021-09-05,0
051795,179208,95,2021-08-12,1
051795,179208,191,2021-04-23,0
051797,104092,31,2021-02-11,0
051797,104092,186,2021-07-11,0
051797,104092,372,2021-02-24,0
051799,8416,2,2021-03-07,0
051799,8416,17,2021-01-06,0
051799,8416,34,2021-08-31,0
051800,27256,2,2021-07-23,0
051800,27256,7,2021-08-06,0
051800,27256,14,2021-03-03,0
051815,6516,2,2021-04-02,1
051815,6516,10,2021-06-08,0
051815,6516,20,2021-10-31,0
051818,95463,48,2021-06-07,0
051818,95463,479,2021-10-21,1
051818,95463,958,2021-05-20,1
051822,27256,2,2021-04-29,0
051822,27256,8,2021-07-21,0
051822,27256,16,2021-08-08,0
051823,27256,3,2021-09-22,0
051823,27256,8,2021-10-22,0
051823,27256,16,2021-04-26,0
051824,179208,23,2021-07-10,0
051824,179208,45,2021-01-24,0
051824,179208,90,2021-12-16,1
051833,179208,13,2021-12-10,0
051833,179208,27,2021-07-02,0
051833,179208,54,2021-12-03,0
051840,179208,10,2021-11-06,0
051840,179208,31,2021-04-06,0
051840,179208,62,2021-11-30,0
051862,24848,4,2021-11-26,0
051862,24848,50,2021-07-30,0
051862,24848,100,2021-01-24,1
051864,179208,42,2021-03-01,0
051864,179208,128,2021-12-17,0
051864,179208,256,2021-01-30,0
051878,179208,15,2021-02-28,0
051878,179208,45,2021-09-29,1
051878,179208,90,2021-08-15,0
051882,179208,14,2021-11-22,0
051882,179208,42,2021-07-19,0
051882,179208,84,2021-09-21,0
051891,6516,2,2021-09-07,0
051891,6516,14,2021-02-13,0
051891,6516,28,2021-07-22,1
051898,6498,1,2021-01-24,0
051898,6498,2,2021-03-10,0
051898,6498,4,2021-10-30,0
051901,6498,1,2021-12-28,0
051901,6498,2,2021-01-09,0
051901,6498,4,2021-02-27,0
051910,7168,3,2021-01-23,0
051910,7168,20,2021-09-04,0
051910,7168,40,2021-08-17,0
051912,8600,4,2021-05-03,0
051912,8600,18,2021-03-24,0
051912,8600,36,2021-02-28,0
051913,28824,4,2021-03-12,0
051913,28824,11,2021-02-07,0
051913,28824,22,2021-02-02,0
051914,29252,4,2021-01-06,0
051914,29252,12,2021-06-07,0
051914,29252,24,2021-10-14,1
051916,179208,5,2021-05-07,0
051916,179208,10,2021-10-24,0
051916,179208,21,2021-05-01,1
051918,109155,23,2021-05-01,0
051918,109155,163,2021-03-01,0
051918,109155,326,2021-02-14,0
051926,104092,15,2021-10-25,0
051926,104092,92,2021-01-29,0
051926,104092,184,2021-08-06,0
051928,145749,17,2021-05-17,0
051928,145749,135,2021-05-10,0
051928,145749,270,2021-12-14,1
051929,106952,12,2021-01-14,0
051929,106952,48,2021-12-06,0
051929,106952,96,2021-06-26,0
051969,27256,2,2021-08-25,0
051969,27256,6,2021-06-04,0
051969,27256,12,2021-01-06,0
052001,100388,11,2021-10-21,0
052001,100388,199,2021-11-08,0
052001,100388,398,2021-01-09,0
052002,179208,11,2021-10-08,0
052002,179208,33,2021-05-24,0
052002,179208,66,2021-08-31,1
052005,20951,5,2021-10-22,0
052005,20951,51,2021-04-09,1
052005,20951,102,2021-06-20,0
052006,106952,15,2021-05-07,0
052006,106952,62,2021-07-07,1
052006,106952,124,2021-02-12,0
052008,9518,3,2021-06-30,0
052008,9518,30,2021-02-27,0
052008,9518,60,2021-10-08,0
052009,43171,9,2021-12-24,0
052009,43171,35,2021-11-20,1
052009,43171,70,2021-05-26,0
052010,33960,6,2021-12-28,1
052010,33960,46,2021-06-12,0
052010,33960,92,2021-09-26,0
052018,179208,9,2021-05-23,0
052018,179208,18,2021-03-30,1
052018,179208,36,2021-09-14,0
052027,8600,4,2021-10-06,0
052027,8600,18,2021-01-27,0
052027,8600,36,2021-02-18,1
052029,24244,5,2021-06-28,0
052029,24244,33,2021-01-19,1
052029,24244,66,2021-02-08,0
052037,6498,2,2021-03-29,0
052037,6498,4,2021-03-27,0
052037,6498,8,2021-07-13,0
052038,6516,2,2021-02-16,0
052038,6516,10,2021-09-20,0
052038,6516,20,2021-07-13,1
052039,15218,6,2021-08-17,0
052039,15218,36,2021-09-04,0
052039,15218,72,2021-04-01,0
052056,10156,3,2021-01-06,1
052056,10156,27,2021-03-16,0
052056,10156,54,2021-07-04,0
052057,6516,2,2021-07-12,0
052057,6516,8,2021-08-09,0
052057,6516,16,2021-01-20,0
052062,179208,13,2021-07-16,0
052062,179208,26,2021-09-17,0
052062,179208,52,2021-08-26,0
052063,102669,8,2021-03-12,0
052063,102669,25,2021-01-31,0
052063,102669,50,2021-11-08,0
052064,27256,2,2021-08-22,0
052064,27256,6,2021-08-01,0
052064,27256,12,2021-11-08,0
052065,179208,10,2021-08-22,0
052065,179208,30,2021-03-27,0
052065,179208,60,2021-12-10,0
052066,14413,4,2021-11-21,0
052066,14413,58,2021-09-11,0
052066,14413,116,2021-06-30,0
052067,32174,8,2021-04-10,0
052067,32174,95,2021-11-17,0
052067,32174,190,2021-03-18,0
052072,179208,11,2021-04-26,0
052072,179208,23,2021-05-09,0
052072,179208,46,2021-12-22,1
052074,15218,6,2021-01-16,0
052074,15218,34,2021-01-26,0
052074,15218,68,2021-10-15,0
052077,6498,1,2021-06-29,0
052077,6498,2,2021-09-15,1
